DL/UL	time	tbSize	SINR(dB)
DL	113.279	2126	290.189
DL	1.1328	2126	393.424
DL	114.279	2126	28.827
DL	1.1428	2126	39.09
DL	115.279	2126	293.705
DL	1.1528	2126	383.378
DL	116.279	2126	289.439
DL	1.1628	2126	384.105
DL	117.279	2126	290.083
DL	1.1728	2126	382.619
DL	118.279	2126	291.712
DL	1.1828	2126	380.623
DL	119.279	2126	290.564
DL	1.1928	2126	379.619
DL	120.279	2126	289.857
DL	1.2028	2126	380.628
DL	121.279	2126	298.368
DL	1.2128	2126	377.917
DL	122.279	2126	300.002
DL	1.2228	2126	377.204
DL	123.279	2126	297.525
DL	1.2328	2126	376.957
DL	124.279	2126	299.882
DL	1.2428	2126	38.064
DL	125.279	2126	294.013
DL	1.2528	2126	389.165
DL	126.279	2126	293.741
DL	1.2628	2126	391.841
DL	127.279	2126	294.091
DL	1.2728	2126	393.706
DL	128.279	2126	285.844
DL	1.2828	2126	387.278
DL	129.279	2126	289.017
DL	1.2928	2126	381.621
DL	130.279	2126	291.365
DL	1.3028	2126	37.347
DL	131.279	2126	296.089
DL	1.3128	2126	375.636
DL	132.279	2126	30.23
DL	1.3228	2126	37.789
DL	133.279	2126	302.258
DL	1.3328	2126	375.561
DL	134.279	2126	308.039
DL	1.3428	2126	374.949
DL	135.279	2126	30.541
DL	1.3528	2126	385.235
DL	136.279	2126	306.502
DL	1.3628	2126	382.678
DL	137.279	2126	306.757
DL	1.3728	2126	38.02
DL	138.279	2126	309.559
DL	1.3828	2126	370.875
DL	139.279	2126	299.707
DL	1.3928	2126	377.541
DL	140.279	2126	29.806
DL	1.4028	2126	382.453
DL	141.279	2126	299.241
DL	1.4128	2126	392.138
DL	142.279	2126	301.751
DL	1.4228	2126	394.066
DL	143.279	2126	310.598
DL	1.4328	2126	394.504
DL	144.279	2126	31.043
DL	1.4428	2126	385.388
DL	145.279	2126	314.795
DL	1.4528	2126	384.832
DL	146.279	2126	312.776
DL	1.4628	2126	387.732
DL	147.279	2126	318.398
DL	1.4728	2126	386.669
DL	148.279	2126	320.822
DL	1.4828	2126	380.098
DL	149.279	2126	321.694
DL	1.4928	2126	382.658
DL	150.279	2126	321.658
DL	1.5028	2126	383.754
DL	151.279	2126	318.021
DL	1.5128	2126	38.745
DL	152.279	2126	32.156
DL	1.5228	2126	38.806
DL	153.279	2126	322.219
DL	1.5328	2126	384.726
DL	154.279	2126	333.176
DL	1.5428	2126	388.213
DL	155.279	2126	341.293
DL	1.5528	2126	386.138
DL	156.279	2126	338.925
DL	1.5628	2126	38.536
DL	157.279	2126	334.216
DL	1.5728	2126	389.527
DL	158.279	2126	341.076
DL	1.5828	2126	394.888
DL	159.279	2126	340.053
DL	1.5928	2126	397.333
DL	160.279	2126	343.185
DL	1.6028	2126	39.488
DL	161.279	2126	342.727
DL	1.6128	2126	400.719
DL	162.279	2126	348.611
DL	1.6228	2126	401.509
DL	163.279	2126	346.683
DL	1.6328	2126	404.291
DL	164.279	2126	338.062
DL	1.6428	2126	406.411
DL	165.279	2126	337.036
DL	1.6528	2126	399.944
DL	166.279	2126	337.113
DL	1.6628	2126	396.503
DL	167.279	2126	340.924
DL	1.6728	2126	38.739
DL	168.279	2126	350.166
DL	1.6828	2126	400.365
DL	169.279	2126	358.344
DL	1.6928	2126	400.148
DL	170.279	2126	356.322
DL	1.7028	2126	398.568
DL	171.279	2126	361.253
DL	1.7128	2126	401.506
DL	172.279	2126	366.349
DL	1.7228	2126	395.534
DL	173.279	2126	35.745
DL	1.7328	2126	391.765
DL	174.279	2126	361.404
DL	1.7428	2126	39.459
DL	175.279	2126	353.632
DL	1.7528	2126	401.668
DL	176.279	2126	353.511
DL	1.7628	2126	410.234
DL	177.279	2126	347.939
DL	1.7728	2126	407.769
DL	178.279	2126	351.776
DL	1.7828	2126	409.128
DL	179.279	2126	353.596
DL	1.7928	2126	410.114
DL	180.279	2126	350.982
DL	1.8028	2126	412.592
DL	181.279	2126	350.854
DL	1.8128	2126	415.378
DL	182.279	2126	351.876
DL	1.8228	2126	417.374
DL	183.279	2126	350.818
DL	1.8328	2126	423.668
DL	184.279	2126	353.012
DL	1.8428	2126	425.404
DL	185.279	2126	350.572
DL	1.8528	2126	415.751
DL	186.279	2126	354.323
DL	1.8628	2126	417.592
DL	187.279	2126	35.193
DL	1.8728	2126	411.536
DL	188.279	2126	353.051
DL	1.8828	2126	41.891
DL	189.279	2126	360.891
DL	1.8928	2126	412.455
DL	190.279	2126	355.149
DL	1.9028	2126	408.619
