DL/UL	time	tbSize	SINR(dB)
DL	572.804	2126	411.075
UL	580.786	2126	321.039
UL	580.804	2126	40.755
DL	582.786	2126	321.467
DL	582.804	2126	406.253
UL	590.786	2126	320.665
UL	590.804	2126	401.239
DL	592.786	2126	321.194
DL	592.804	2126	400.767
UL	600.786	2126	317.648
UL	600.804	2126	40.232
DL	602.786	2126	317.769
DL	602.804	2126	403.071
UL	610.786	2126	311.396
UL	610.804	2126	395.938
DL	612.786	2126	309.618
DL	612.804	2126	396.454
UL	620.786	2126	318.419
UL	620.804	2126	399.954
DL	622.786	2126	318.566
DL	622.804	2126	397.061
UL	630.786	2126	321.882
UL	630.804	2126	394.635
DL	632.786	2126	323.607
DL	632.804	2126	392.502
UL	640.786	2126	327.833
UL	640.804	2126	39.581
DL	642.786	2126	326.564
DL	642.804	2126	395.862
UL	650.786	2126	32.285
UL	650.804	2126	399.883
DL	652.786	2126	323.516
DL	652.804	2126	397.435
UL	660.786	2126	323.352
UL	660.804	2126	405.348
DL	662.786	2126	324.565
DL	662.804	2126	405.938
UL	670.786	2126	329.637
UL	670.804	2126	401.267
DL	672.786	2126	334.457
DL	672.804	2126	398.504
UL	680.786	2126	333.179
UL	680.804	2126	399.589
DL	682.786	2126	333.866
DL	682.804	2126	402.666
UL	690.786	2126	338.683
UL	690.804	2126	396.837
DL	692.786	2126	335.985
DL	692.804	2126	397.626
UL	700.786	2126	339.297
UL	700.804	2126	404.794
DL	702.786	2126	338.336
DL	702.804	2126	403.644
UL	710.786	2126	337.308
UL	710.804	2126	404.836
DL	712.786	2126	337.031
DL	712.804	2126	403.965
UL	720.786	2126	336.879
UL	720.804	2126	40.346
DL	722.786	2126	334.824
DL	722.804	2126	402.424
UL	730.786	2126	338.561
UL	730.804	2126	402.816
DL	732.786	2126	336.279
DL	732.804	2126	405.988
UL	740.786	2126	333.572
UL	740.804	2126	400.004
DL	742.786	2126	331.208
DL	742.804	2126	397.523
UL	750.786	2126	334.792
UL	750.804	2126	402.899
DL	752.786	2126	334.443
DL	752.804	2126	40.292
UL	760.786	2126	329.223
UL	760.804	2126	397.318
DL	762.786	2126	329.373
DL	762.804	2126	393.889
UL	770.786	2126	330.119
UL	770.804	2126	39.924
DL	772.786	2126	331.746
DL	772.804	2126	397.414
UL	780.786	2126	334.881
UL	780.804	2126	396.646
DL	782.786	2126	335.161
DL	782.804	2126	396.628
UL	790.786	2126	334.536
UL	790.804	2126	392.756
DL	792.786	2126	334.281
DL	792.804	2126	393.036
UL	800.786	2126	328.439
UL	800.804	2126	401.167
DL	802.786	2126	325.106
DL	802.804	2126	399.092
UL	810.786	2126	321.378
UL	810.804	2126	393.987
DL	812.786	2126	320.521
DL	812.804	2126	393.967
UL	820.786	2126	319.891
UL	820.804	2126	390.835
DL	822.786	2126	318.465
DL	822.804	2126	392.579
UL	830.786	2126	313.733
UL	830.804	2126	390.139
DL	832.786	2126	318.302
DL	832.804	2126	392.139
UL	840.786	2126	313.668
UL	840.804	2126	395.173
DL	842.786	2126	313.108
DL	842.804	2126	398.127
UL	850.786	2126	310.368
UL	850.804	2126	394.941
DL	852.786	2126	312.503
DL	852.804	2126	395.658
UL	860.786	2126	319.417
UL	860.804	2126	398.763
DL	862.786	2126	320.796
DL	862.804	2126	394.764
UL	870.786	2126	31.78
