DL/UL	time	tbSize	SINR(dB)
UL	1.2308	2126	380599
UL	124.079	2126	298789
UL	1.2408	2126	376817
UL	125.079	2126	298457
UL	1.2508	2126	388189
UL	126.079	2126	294812
UL	1.2608	2126	393305
UL	127.079	2126	294313
UL	1.2708	2126	390573
UL	128.079	2126	287271
UL	1.2808	2126	389635
UL	129.079	2126	284697
UL	1.2908	2126	382096
UL	130.079	2126	290796
UL	1.3008	2126	374296
UL	131.079	2126	295458
UL	1.3108	2126	374032
UL	132.079	2126	300571
UL	1.3208	2126	375326
UL	133.079	2126	303111
UL	1.3308	2126	378046
UL	134.079	2126	305681
UL	1.3408	2126	375946
UL	135.079	2126	301583
UL	1.3508	2126	382093
UL	136.079	2126	307911
UL	1.3608	2126	382866
UL	137.079	2126	307897
UL	1.3708	2126	379924
UL	138.079	2126	306783
UL	1.3808	2126	372595
UL	139.079	2126	301038
UL	1.3908	2126	374587
UL	140.079	2126	298879
UL	1.4008	2126	379821
UL	141.079	2126	298504
UL	1.4108	2126	389085
UL	142.079	2126	300869
UL	1.4208	2126	394163
UL	143.079	2126	313845
UL	1.4308	2126	395124
UL	144.079	2126	310591
UL	1.4408	2126	386231
UL	145.079	2126	315141
UL	1.4508	2126	384759
UL	146.079	2126	312571
UL	1.4608	2126	389645
UL	147.079	2126	316545
UL	1.4708	2126	386411
UL	148.079	2126	320624
UL	1.4808	2126	38168
UL	149.079	2126	318361
UL	1.4908	2126	384087
UL	150.079	2126	322224
UL	1.5008	2126	383846
UL	151.079	2126	321628
UL	1.5108	2126	389139
UL	152.079	2126	324719
UL	1.5208	2126	38768
UL	153.079	2126	32054
UL	1.5308	2126	382868
UL	154.079	2126	333201
UL	1.5408	2126	386849
UL	155.079	2126	337835
UL	1.5508	2126	38595
UL	156.079	2126	338819
UL	1.5608	2126	385711
UL	157.079	2126	336305
UL	1.5708	2126	390739
UL	158.079	2126	340192
UL	1.5808	2126	394535
UL	159.079	2126	338632
UL	1.5908	2126	398838
UL	160.079	2126	344046
UL	1.6008	2126	39822
UL	161.079	2126	34182
UL	1.6108	2126	396992
UL	162.079	2126	345905
UL	1.6208	2126	40524
UL	163.079	2126	348056
UL	1.6308	2126	403182
UL	164.079	2126	338604
UL	1.6408	2126	405678
UL	165.079	2126	337261
UL	1.6508	2126	403387
UL	166.079	2126	337511
UL	1.6608	2126	397534
UL	167.079	2126	337569
UL	1.6708	2126	387945
UL	168.079	2126	346221
UL	1.6808	2126	401684
UL	169.079	2126	356188
UL	1.6908	2126	400657
UL	170.079	2126	356342
UL	1.7008	2126	397698
UL	171.079	2126	35805
UL	1.7108	2126	401296
UL	172.079	2126	368164
UL	1.7208	2126	395272
UL	173.079	2126	361032
UL	1.7308	2126	391014
UL	174.079	2126	363508
UL	1.7408	2126	393855
UL	175.079	2126	355945
UL	1.7508	2126	39767
UL	176.079	2126	356376
UL	1.7608	2126	406888
UL	177.079	2126	346485
UL	1.7708	2126	409934
UL	178.079	2126	35283
UL	1.7808	2126	408643
UL	179.079	2126	35342
UL	1.7908	2126	413285
UL	180.079	2126	349518
UL	1.8008	2126	410167
UL	181.079	2126	351526
UL	1.8108	2126	415801
UL	182.079	2126	352723
UL	1.8208	2126	415742
UL	183.079	2126	351251
UL	1.8308	2126	424104
UL	184.079	2126	351803
UL	1.8408	2126	424222
UL	185.079	2126	352842
UL	1.8508	2126	416555
UL	186.079	2126	353914
UL	1.8608	2126	418696
UL	187.079	2126	351348
UL	1.8708	2126	408956
UL	188.079	2126	352049
UL	1.8808	2126	420034
UL	189.079	2126	358999
UL	1.8908	2126	413403
UL	190.079	2126	356803
UL	1.9008	2126	408491
UL	191.079	2126	354881
UL	1.9108	2126	407606
UL	192.079	2126	356941
UL	1.9208	2126	403037
UL	193.079	2126	364577
UL	1.9308	2126	404739
UL	194.079	2126	365914
UL	1.9408	2126	401114
UL	195.079	2126	366475
UL	1.9508	2126	402579
UL	196.079	2126	372687
UL	1.9608	2126	394384
UL	197.079	2126	373868
UL	1.9708	2126	39913
UL	198.079	2126	378262
UL	1.9808	2126	399479
UL	199.079	2126	38112
UL	1.9908	2126	397384
UL	200.079	2126	378407
UL	2.2008	2126	398998
UL	201.079	2126	385979
UL	2.0108	2126	396122
UL	202.079	2126	389318
UL	2.0208	2126	395547
UL	203.079	2126	383419
UL	2.0308	2126	39243
UL	204.079	2126	377744
UL	2.0408	2126	38749
UL	205.079	2126	381285
UL	2.0508	2126	386278
UL	206.079	2126	380741
UL	2.0608	2126	390495
UL	207.079	2126	389589
UL	2.0708	2126	395144
UL	208.079	2126	389609
UL	2.0808	2126	398188
UL	209.079	2126	386098
UL	2.0908	2126	397859
UL	210.079	2126	382115
UL	2.1008	2126	39219
UL	211.079	2126	380041
UL	2.1108	2126	395441
UL	212.079	2126	374424
UL	2.1208	2126	395242
UL	213.079	2126	377948
UL	2.1308	2126	394557
UL	214.079	2126	383157
UL	2.1408	2126	394948
UL	215.079	2126	386415
UL	2.1508	2126	397233
UL	216.079	2126	392204
UL	2.1608	2126	397062
UL	217.079	2126	393908
UL	2.1708	2126	391957
UL	218.079	2126	39283
UL	2.1808	2126	39111
UL	219.079	2126	386918
UL	2.1908	2126	398641
UL	220.079	2126	389467
UL	2.2008	2126	406749
UL	221.079	2126	393883
UL	2.2108	2126	409061
UL	222.079	2126	396717
UL	2.2208	2126	40003
UL	223.079	2126	400162
UL	2.2308	2126	400189
UL	224.079	2126	40.24
UL	2.2408	2126	396698
UL	225.079	2126	403324
UL	2.2508	2126	395505
UL	226.079	2126	407172
UL	2.2608	2126	388434
UL	227.079	2126	407141
UL	2.2708	2126	388163
UL	228.079	2126	40477
UL	2.2808	2126	390426
UL	229.079	2126	404532
UL	2.2908	2126	386603
UL	230.079	2126	40342
UL	2.3008	2126	386262
UL	231.079	2126	398692
UL	2.3108	2126	382417
UL	232.079	2126	395766
UL	2.3208	2126	381181
UL	233.079	2126	394131
UL	2.3308	2126	384607
UL	234.079	2126	39293
UL	2.3408	2126	380086
UL	235.079	2126	388926
UL	2.3508	2126	383328
UL	236.079	2126	400167
UL	2.3608	2126	375633
UL	237.079	2126	404662
UL	2.3708	2126	377204
UL	238.079	2126	398919
UL	2.3808	2126	376205
UL	239.079	2126	400653
UL	2.3908	2126	376756
UL	240.079	2126	395253
UL	2.4008	2126	375039
UL	241.079	2126	399639
UL	2.4108	2126	375724
UL	242.079	2126	40257
UL	2.4208	2126	377434
UL	243.079	2126	393995
UL	2.4308	2126	37897
UL	244.079	2126	39.52
UL	2.4408	2126	373514
UL	245.079	2126	400143
UL	2.4508	2126	381912
